gene_short_na,NLR clade
Cc00_g03300,CNL-ND-8
Cc00_g09320,CNL-ND-8
Cc00_g09410,CNL-ND-8
Cc00_g21720,CNL-ND-8
Cc00_g31640,CNL-ND-8
Cc01_g04980,CNL-ND-8
Cc02_g28600,CNL-ND-8
Cc02_g28660,CNL-ND-8
Cc02_g28720,CNL-ND-8
Cc02_g28730,CNL-ND-8
Cc02_g28750,CNL-ND-8
Cc07_g03110,CNL-ND-8
Solyc03g006750,CNL-ND-8
Solyc03g006760,CNL-ND-8
Cc02_g36190,CNL-ND-9
Cc02_g36200,CNL-ND-9
Cc02_g36250,CNL-ND-9
Cc02_g36310,CNL-ND-9
Solyc02g073574,CNL-ND-9
Solyc02g084450,CNL-ND-9
AtZAR1,CNL-ND-AtZAR1
Cc05_g05530,CNL-ND-AtZAR1
Cc05_g05540,CNL-ND-AtZAR1
Cc05_g05550,CNL-ND-AtZAR1
Cc07_g09980,CNL-ND-AtZAR1
Solyc02g084890,CNL-ND-AtZAR1
Solyc07g053010,CNL-ND-AtZAR1
Solyc07g053020,CNL-ND-AtZAR1
Cc03_g13980,NLR-Coffea-ND-1
Cc10_g10090,NLR-Coffea-ND-10
Cc03_g10130,NLR-Coffea-ND-11
Cc11_g08970,NLR-Coffea-ND-11
Cc11_g08980,NLR-Coffea-ND-11
Cc11_g09420,NLR-Coffea-ND-11
Cc11_g09430,NLR-Coffea-ND-11
Cc11_g09440,NLR-Coffea-ND-11
Cc11_g09460,NLR-Coffea-ND-11
Cc03_g05750,NLR-Coffea-ND-12
Cc04_g04080,NLR-Coffea-ND-13
Cc03_g06570,NLR-Coffea-ND-14
Solyc02g070410,NLR-Coffea-ND-15
Cc07_g18130,NLR-Coffea-ND-16
Cc11_g05390,NLR-Coffea-ND-16
Cc11_g05970,NLR-Coffea-ND-16
Cc11_g06120,NLR-Coffea-ND-16
Cc11_g06190,NLR-Coffea-ND-16
Cc00_g16300,NLR-Coffea-ND-17
Cc00_g11920,NLR-Coffea-ND-18
Cc00_g12520,NLR-Coffea-ND-18
Cc00_g15830,NLR-Coffea-ND-18
Cc11_g02470,NLR-Coffea-ND-18
Cc11_g02490,NLR-Coffea-ND-18
Cc11_g02520,NLR-Coffea-ND-18
Cc11_g04890,NLR-Coffea-ND-18
Cc11_g01160,NLR-Coffea-ND-19
Cc11_g04080,NLR-Coffea-ND-19
Cc11_g04090,NLR-Coffea-ND-19
Cc11_g04120,NLR-Coffea-ND-19
Cc11_g04150,NLR-Coffea-ND-19
Cc11_g05370,NLR-Coffea-ND-19
Cc03_g08520,NLR-Coffea-ND-20
Cc11_g03790,NLR-Coffea-ND-20
Cc08_g01430,NLR-Coffea-ND-21
Cc11_g00890,NLR-Coffea-ND-21
Cc11_g00960,NLR-Coffea-ND-21
Cc00_g03020,NLR-Coffea-ND-22
Cc00_g09620,NLR-Coffea-ND-22
Cc00_g09630,NLR-Coffea-ND-22
Cc00_g26340,NLR-Coffea-ND-22
Cc00_g30540,NLR-Coffea-ND-22
Cc01_g01140,NLR-Coffea-ND-22
Cc03_g08230,NLR-Coffea-ND-22
Cc03_g08260,NLR-Coffea-ND-22
Cc03_g08270,NLR-Coffea-ND-22
Cc03_g08290,NLR-Coffea-ND-22
Cc03_g14610,NLR-Coffea-ND-22
Cc03_g14620,NLR-Coffea-ND-22
Cc03_g14630,NLR-Coffea-ND-22
Cc03_g14650,NLR-Coffea-ND-22
Cc03_g14660,NLR-Coffea-ND-22
Cc03_g14790,NLR-Coffea-ND-22
Cc03_g14800,NLR-Coffea-ND-22
Cc01_g07510,NLR-Coffea-ND-23
Cc10_g13320,NLR-Coffea-ND-24
Cc03_g09200,NLR-Coffea-ND-25
Cc09_g06310,NLR-Coffea-ND-25
Cc11_g00940,NLR-Coffea-ND-25
Cc11_g00950,NLR-Coffea-ND-25
Cc11_g02960,NLR-Coffea-ND-25
Cc11_g07560,NLR-Coffea-ND-25
Cc00_g00700,NLR-Coffea-ND-26
Cc00_g16020,NLR-Coffea-ND-26
Cc06_g22210,NLR-Coffea-ND-26
Cc11_g06320,NLR-Coffea-ND-26
Cc11_g06360,NLR-Coffea-ND-26
Cc11_g06910,NLR-Coffea-ND-26
Cc11_g06920,NLR-Coffea-ND-26
Cc11_g08750,NLR-Coffea-ND-26
Cc11_g08760,NLR-Coffea-ND-26
Cc05_g04430,NLR-Coffea-ND-27
Cc05_g04460,NLR-Coffea-ND-27
Cc05_g04510,NLR-Coffea-ND-27
Cc05_g04520,NLR-Coffea-ND-27
Cc05_g04530,NLR-Coffea-ND-27
Cc05_g04560,NLR-Coffea-ND-27
Cc05_g05210,NLR-Coffea-ND-27
Cc05_g05230,NLR-Coffea-ND-27
Cc05_g05270,NLR-Coffea-ND-27
Cc05_g05280,NLR-Coffea-ND-27
Cc00_g10030,NLR-Coffea-ND-28
Cc00_g27600,NLR-Coffea-ND-28
Cc03_g09510,NLR-Coffea-ND-28
Cc03_g09550,NLR-Coffea-ND-28
Cc03_g09570,NLR-Coffea-ND-28
Cc03_g09830,NLR-Coffea-ND-28
Cc03_g09840,NLR-Coffea-ND-28
Cc03_g09860,NLR-Coffea-ND-28
Cc03_g10280,NLR-Coffea-ND-28
Cc03_g10330,NLR-Coffea-ND-28
Cc03_g10340,NLR-Coffea-ND-28
Cc03_g10390,NLR-Coffea-ND-28
Cc03_g10410,NLR-Coffea-ND-28
Cc03_g10430,NLR-Coffea-ND-28
Cc05_g09070,NLR-Coffea-ND-29
Cc02_g26510,NLR-Coffea-ND-3
Cc02_g26540,NLR-Coffea-ND-3
Cc05_g09090,NLR-Coffea-ND-30
Cc05_g08910,NLR-Coffea-ND-31
Cc00_g11710,NLR-Coffea-ND-32
Cc00_g20620,NLR-Coffea-ND-32
Cc02_g33000,NLR-Coffea-ND-32
Cc02_g33010,NLR-Coffea-ND-32
Cc00_g09780,NLR-Coffea-ND-33
Cc00_g19440,NLR-Coffea-ND-33
Cc00_g25340,NLR-Coffea-ND-33
Cc01_g07920,NLR-Coffea-ND-33
Cc01_g07930,NLR-Coffea-ND-33
Cc01_g07940,NLR-Coffea-ND-33
Cc01_g07950,NLR-Coffea-ND-33
Cc01_g08050,NLR-Coffea-ND-33
Cc01_g08070,NLR-Coffea-ND-33
Cc01_g08110,NLR-Coffea-ND-33
Cc01_g08120,NLR-Coffea-ND-33
Cc10_g11630,NLR-Coffea-ND-33
Cc10_g11650,NLR-Coffea-ND-33
Cc11_g04530,NLR-Coffea-ND-33
Cc00_g01290,NLR-Coffea-ND-34
Cc00_g01320,NLR-Coffea-ND-34
Cc00_g01350,NLR-Coffea-ND-34
Cc00_g02960,NLR-Coffea-ND-34
Cc00_g03010,NLR-Coffea-ND-34
Cc00_g03250,NLR-Coffea-ND-34
Cc00_g05420,NLR-Coffea-ND-34
Cc00_g05430,NLR-Coffea-ND-34
Cc00_g05470,NLR-Coffea-ND-34
Cc00_g05490,NLR-Coffea-ND-34
Cc00_g10160,NLR-Coffea-ND-34
Cc00_g10170,NLR-Coffea-ND-34
Cc00_g11190,NLR-Coffea-ND-34
Cc00_g14360,NLR-Coffea-ND-34
Cc00_g18650,NLR-Coffea-ND-34
Cc00_g19160,NLR-Coffea-ND-34
Cc00_g22010,NLR-Coffea-ND-34
Cc00_g29500,NLR-Coffea-ND-34
Cc00_g30180,NLR-Coffea-ND-34
Cc02_g33990,NLR-Coffea-ND-34
Cc04_g11980,NLR-Coffea-ND-34
Cc04_g12020,NLR-Coffea-ND-34
Cc07_g17040,NLR-Coffea-ND-34
Cc07_g17220,NLR-Coffea-ND-34
Cc07_g17250,NLR-Coffea-ND-34
Cc07_g17260,NLR-Coffea-ND-34
Cc07_g17270,NLR-Coffea-ND-34
Cc07_g17280,NLR-Coffea-ND-34
Cc07_g17810,NLR-Coffea-ND-34
Cc07_g17820,NLR-Coffea-ND-34
Cc07_g17830,NLR-Coffea-ND-34
Cc07_g17840,NLR-Coffea-ND-34
Cc07_g19700,NLR-Coffea-ND-34
Cc07_g19710,NLR-Coffea-ND-34
Cc07_g20460,NLR-Coffea-ND-34
Cc07_g20590,NLR-Coffea-ND-34
Cc07_g20740,NLR-Coffea-ND-34
Cc07_g20790,NLR-Coffea-ND-34
Cc07_g20800,NLR-Coffea-ND-34
Cc07_g21230,NLR-Coffea-ND-34
Cc07_g21460,NLR-Coffea-ND-34
Cc11_g03800,NLR-Coffea-ND-34
Cc11_g03840,NLR-Coffea-ND-34
Cc11_g03860,NLR-Coffea-ND-34
Cc00_g17360,NLR-Coffea-ND-4
Cc03_g13800,NLR-Coffea-ND-4
Cc03_g13990,NLR-Coffea-ND-5
Cc03_g14710,NLR-Coffea-ND-6
Cc02_g36320,NLR-Coffea-ND-7
Cc03_g06170,NLR-Coffea-ND-8
Cc00_g02990,NLR-Coffea-ND-9
Cc00_g09900,NLR-Coffea-ND-9
Cc00_g09920,NLR-Coffea-ND-9
Cc00_g10780,NLR-Coffea-ND-9
Cc00_g19810,NLR-Coffea-ND-9
Cc00_g21150,NLR-Coffea-ND-9
Cc00_g31030,NLR-Coffea-ND-9
Cc00_g31100,NLR-Coffea-ND-9
Cc00_g35060,NLR-Coffea-ND-9
Cc04_g11620,NLR-Coffea-ND-9
Cc04_g11970,NLR-Coffea-ND-9
Cc04_g12030,NLR-Coffea-ND-9
Cc04_g12050,NLR-Coffea-ND-9
Cc04_g12060,NLR-Coffea-ND-9
Cc04_g12630,NLR-Coffea-ND-9
Cc04_g12650,NLR-Coffea-ND-9
Cc04_g13820,NLR-Coffea-ND-9
Cc04_g13950,NLR-Coffea-ND-9
Cc04_g14020,NLR-Coffea-ND-9
Cc04_g14040,NLR-Coffea-ND-9
Cc04_g14060,NLR-Coffea-ND-9
Cc04_g14250,NLR-Coffea-ND-9
Cc04_g14260,NLR-Coffea-ND-9
Cc04_g14270,NLR-Coffea-ND-9
Cc06_g22540,NLR-Coffea-ND-9
Cc09_g09290,NLR-Coffea-ND-9
Cc11_g03990,NLR-Coffea-ND-9
Cc00_g19290,NLR-TNL?-ND-1
Cc00_g26960,NLR-TNL?-ND-1
Cc03_g15430,NLR-TNL?-ND-1
Cc03_g15450,NLR-TNL?-ND-1
Cc03_g15470,NLR-TNL?-ND-1
Cc03_g15490,NLR-TNL?-ND-1
Cc05_g06530,NLR-TNL?-ND-1
Cc05_g06550,NLR-TNL?-ND-1
Cc05_g06580,NLR-TNL?-ND-1
Cc05_g06600,NLR-TNL?-ND-1
Cc05_g06620,NLR-TNL?-ND-1
Cc05_g06950,NLR-TNL?-ND-1
Cc05_g06960,NLR-TNL?-ND-1
Cc05_g07410,NLR-TNL?-ND-1
Cc05_g07430,NLR-TNL?-ND-1
Cc05_g07910,NLR-TNL?-ND-1
Cc05_g08170,NLR-TNL?-ND-1
Cc05_g08200,NLR-TNL?-ND-1
Cc07_g16920,NLR-TNL?-ND-1
Cc08_g05660,NLR-TNL?-ND-1
Cc00_g07010,NRC-clade
Cc03_g14730,NRC-clade
Cc03_g14750,NRC-clade
Cc05_g05290,NRC-clade
Cc05_g06080,NRC-clade
Cc10_g10660,NRC-clade
Cc10_g11230,NRC-clade
Cc10_g11250,NRC-clade
Cc10_g11270,NRC-clade
Cc11_g03770,NRC-clade
Cc11_g06560,NRC-clade
Cc11_g07660,NRC-clade
Cc11_g07670,NRC-clade
Cc11_g10420,NRC-clade
Cc11_g10440,NRC-clade
Cc11_g10450,NRC-clade
Solyc01g090430,NRC-clade
Solyc03g005660,NRC-clade
Solyc04g007030,NRC-clade
Solyc04g007050,NRC-clade
Solyc04g007060,NRC-clade
Solyc04g007070,NRC-clade
Solyc04g008150,NRC-clade
Solyc04g015210,NRC-clade
Solyc05g009630,NRC-clade
Solyc10g008220,NRC-clade
Solyc10g047320,NRC-clade
ADR1,RPW-8-1
ADR1L1,RPW-8-1
ADR1L2,RPW-8-1
AtNRG1A,RPW-8-1
AtNRG1B,RPW-8-1
Cc10_g03810,RPW-8-1
Solyc02g090380,RPW-8-1
Solyc04g079420,RPW-8-1
Cc00_g02030,RPW-8-2
Cc00_g02040,RPW-8-2
Cc00_g02080,RPW-8-2
Cc00_g02110,RPW-8-2
Cc00_g02120,RPW-8-2
Cc00_g02130,RPW-8-2
Cc00_g02140,RPW-8-2
Cc00_g02150,RPW-8-2
Cc00_g09480,RPW-8-2
Cc00_g09490,RPW-8-2
Cc00_g21080,RPW-8-2
Cc00_g29590,RPW-8-2
Cc01_g03010,RPW-8-2
Cc01_g03020,RPW-8-2
Cc01_g06910,RPW-8-2
Cc05_g02150,RPW-8-2
Cc05_g02440,RPW-8-2
Cc05_g04690,RPW-8-2
Cc05_g05250,RPW-8-2
Cc05_g06490,RPW-8-2
Cc06_g11650,RPW-8-2
Cc07_g18670,RPW-8-2
Cc07_g18690,RPW-8-2
Cc07_g20620,RPW-8-2
RPS2,RPW-8-2
RPS5,RPW-8-2
Solyc02g037540,RPW-8-2
Solyc06g048910,RPW-8-2
Solyc08g007250,RPW-8-2
Solyc08g013970,RPW-8-2
Solyc10g076440,RPW-8-2
Solyc11g007790,RPW-8-2
Cc00_g08240,RPW-8-3
Cc00_g10380,RPW-8-3
Cc00_g13150,RPW-8-3
Cc00_g13170,RPW-8-3
Cc00_g13280,RPW-8-3
Cc00_g15430,RPW-8-3
Cc00_g20520,RPW-8-3
Cc00_g22090,RPW-8-3
Cc00_g24460,RPW-8-3
Cc00_g25690,RPW-8-3
Cc00_g26540,RPW-8-3
Cc00_g32210,RPW-8-3
Cc03_g10780,RPW-8-3
Cc03_g10810,RPW-8-3
Cc03_g14760,RPW-8-3
Cc06_g19650,RPW-8-3
Cc06_g19660,RPW-8-3
Cc06_g19680,RPW-8-3
Cc06_g19710,RPW-8-3
Cc06_g19740,RPW-8-3
Cc06_g19750,RPW-8-3
Solyc01g067165,RPW-8-3
Solyc02g036270,RPW-8-3
Solyc03g046207,RPW-8-3
Solyc03g094100,RPW-8-3
Solyc04g005540,RPW-8-3
Solyc04g005550,RPW-8-3
Solyc10g054940,RPW-8-3
Solyc10g054970,RPW-8-3
Solyc10g055050,RPW-8-3
