,,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-12,CNL-12,CNL-12,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-16,CNL-16,CNL-16,CNL-16,CNL-2,CNL-2,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-4,CNL-4,CNL-4,CNL-4,CNL-4,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-6,CNL-6,CNL-6,CNL-6,CNL-8,CNL-8,CNL-8,CNL-8,CNL-8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL13,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NRC0,NRC1,NRC2,NRC3,NRC4a,NRC4b,NRC4c,NRC5,NRC6,NRC7,NRCn,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL
CNL-1,Solyc06g008450,,,,,,,,,,24884,0,17367,350002,366835,393307,,,33585,38080608,38091149,38101672,38115485,38129760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37156891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29672305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38389602,38394131,38395124,,,,38300075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc06g008480,,,,,,,,,,42251,17367,0,332635,349468,375940,,,50952,38063241,38073782,38084305,38098118,38112393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37139524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29654938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38372235,38376764,38377757,,,,38282708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc06g008770,,,,,,,,,,374886,350002,332635,0,16833,43305,,,383587,37730606,37741147,37751670,37765483,37779758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36806889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29322303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38039600,38044129,38045122,,,,37950073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc06g008790,,,,,,,,,,391719,366835,349468,16833,0,26472,,,400420,37713773,37724314,37734837,37748650,37762925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36790056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29305470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38022767,38027296,38028289,,,,37933240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc06g008800,,,,,,,,,,418191,393307,375940,43305,26472,0,,,426892,37687301,37697842,37708365,37722178,37736453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36763584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29278998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37996295,38000824,38001817,,,,37906768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc05g054340,,7944839,7640838,5079572,3658278,287291,280073,9383944,273588,,,,,,,0,62145767,,,,,,,61166720,61162462,61159199,,,,59074615,59081068,64851714,59197726,59203549,62964391,62968975,62978003,63143072,63334604,,58737883,58774664,64994754,,,,,,,,,,,,,45652417,,,,,,,,,62613548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9381089,38636415,42263076,62161419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61291539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33743650,,,62822520,63832963,63850331,,,,,
CNL-1,Solyc05g008690,,54200928,54504929,57066195,58487489,61858476,61865694,52761823,61872179,,,,,,,62145767,0,,,,,,,979047,983305,986568,,,,3071152,3064699,2705947,2948041,2942218,818624,823208,832236,997305,1188837,,3407884,3371103,2848987,,,,,,,,,,,,,16493350,,,,,,,,,467781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52764678,23509352,19882691,15652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28402117,,,676753,1687196,1704564,,,,,
CNL-1,Solyc06g008380,,,,,,,,,,8701,33585,50952,383587,400420,426892,,,0,38114193,38124734,38135257,38149070,38163345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29705890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38423187,38427716,38428709,,,,38333660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc06g064680,,,,,,,,,,38105492,38080608,38063241,37730606,37713773,37687301,,,38114193,0,10541,21064,34877,49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8408303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308994,313523,314516,,,,219467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc06g064690,,,,,,,,,,38116033,38091149,38073782,37741147,37724314,37697842,,,38124734,10541,0,10523,24336,38611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8418844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298453,302982,303975,,,,208926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc06g064720,,,,,,,,,,38126556,38101672,38084305,37751670,37734837,37708365,,,38135257,21064,10523,0,13813,28088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8429367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287930,292459,293452,,,,198403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc06g064750,,,,,,,,,,38140369,38115485,38098118,37765483,37748650,37722178,,,38149070,34877,24336,13813,0,14275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8443180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274117,278646,279639,,,,184590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc06g064760,,,,,,,,,,38154644,38129760,38112393,37779758,37762925,37736453,,,38163345,49152,38611,28088,14275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8457455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259842,264371,265364,,,,170315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-10,Solyc05g009740,,53221881,53525882,56087148,57508442,60879429,60886647,51782776,60893132,,,,,,,61166720,979047,,,,,,,0,4258,7521,,,,2092105,2085652,3684994,1968994,1963171,1797671,1802255,1811283,1976352,2167884,,2428837,2392056,3828034,,,,,,,,,,,,,15514303,,,,,,,,,1446828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51785631,22530305,18903644,994699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27423070,,,1655800,2666243,2683611,,,,,
CNL-10,Solyc05g009750,,53217623,53521624,56082890,57504184,60875171,60882389,51778518,60888874,,,,,,,61162462,983305,,,,,,,4258,0,3263,,,,2087847,2081394,3689252,1964736,1958913,1801929,1806513,1815541,1980610,2172142,,2424579,2387798,3832292,,,,,,,,,,,,,15510045,,,,,,,,,1451086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51781373,22526047,18899386,998957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27418812,,,1660058,2670501,2687869,,,,,
CNL-10,Solyc05g009760,,53214360,53518361,56079627,57500921,60871908,60879126,51775255,60885611,,,,,,,61159199,986568,,,,,,,7521,3263,0,,,,2084584,2078131,3692515,1961473,1955650,1805192,1809776,1818804,1983873,2175405,,2421316,2384535,3835555,,,,,,,,,,,,,15506782,,,,,,,,,1454349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51778110,22522784,18896123,1002220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27415549,,,1663321,2673764,2691132,,,,,
